Country ,City
Mexico,Tulum
Mexico,Cancun
Mexico,Mexico City
South Africa,Cape Town
South Africa,Durban
South Africa,Johannesburg
Indonesia,Canggu
Indonesia,Ubud
Indonesia,Seminyak
Brazil,Rio de Janeiro
Brazil,Sao Paulo
Brazil,Florianopolis
Morocco,Marrakech
Morocco,Agadir
Morocco,Casablanca
Thailand,Phuket
Thailand,Bangkok
Thailand,Krabi
Spain,Barcelona
Spain,Ibiza
Spain,Valencia
Iceland,Reykjavik
Iceland,Akureyri
Iceland,Vik
United States,Miami
United States,Los Angeles
United States,Honolulu
Australia,Sydney
Australia,Melbourne
Australia,Gold Coast
